 0.00000 -17.20651 -17.20651 -17.03468 -17.03468 -16.88456 -16.88456 -16.84404 -16.84404 -16.83340 -16.83340 -16.80023 -16.80023 -16.79610 -16.79610 -16.78901 -16.78901 -16.78812 -16.78812 -16.67879 -16.67879 -16.67697 -16.67697 -16.67260 -16.67260 -12.65731 -12.65731 -12.06571 -12.06571 -11.56541 -11.56541 -10.61300 -10.61300 -9.93923 -9.93923 -9.85556 -9.85556 -9.81518 -9.81518 -9.78462 -9.78462 -9.73918 -9.73918 -9.66648 -9.66648 -9.11229 -9.11229 -9.10219 -9.10219 -9.07505 -9.07505 -8.59702 -8.59702 -8.57270 -8.57270 -8.52653 -8.52653 -8.46197 -8.46197 -8.45160 -8.45160 -8.43593 -8.43593 -8.43186 -8.43186 -8.41649 -8.41649 -8.34141 -8.34141 -8.23810 -8.23810 -8.18873 -8.18873 -8.12862 -8.12862 -8.09104 -8.09104 -8.04102 -8.04102 -8.02204 -8.02204 -7.91178 -7.91178 -7.91092 -7.91092 -7.80046 -7.80046 -7.77024 -7.77024 -7.74980 -7.74980 -7.72704 -7.72704 -7.70435 -7.70435 -7.62163 -7.62163 -7.49038 -7.49038 -7.22015 -7.22015 -6.81777 -6.81777 -6.09679 -6.09679 -4.28804 -4.28804 -3.70896 -3.70896 -3.40507 -3.40507 -3.08558 -3.08558 -3.02418 -3.02418 -2.71319 -2.71319 -1.36690 -1.36690 -1.05847 -1.05847 -0.65174 -0.65174 -0.35495 -0.35495 -0.27700 -0.27700 -0.23364 -0.23364 
 0.01938 -17.20509 -17.20509 -17.03332 -17.03332 -16.88972 -16.88972 -16.84286 -16.84286 -16.83325 -16.83325 -16.79977 -16.79977 -16.79538 -16.79538 -16.79028 -16.79028 -16.78586 -16.78586 -16.67900 -16.67900 -16.67770 -16.67770 -16.67341 -16.67341 -12.65213 -12.65213 -12.06028 -12.06028 -11.57575 -11.57575 -10.63950 -10.63950 -9.93684 -9.93684 -9.84151 -9.84151 -9.81021 -9.81021 -9.77013 -9.77013 -9.73411 -9.73411 -9.66011 -9.66011 -9.11244 -9.11244 -9.10411 -9.10411 -9.07725 -9.07725 -8.60341 -8.60341 -8.57125 -8.57125 -8.53105 -8.53105 -8.46792 -8.46792 -8.45176 -8.45176 -8.44068 -8.44068 -8.41938 -8.41938 -8.41525 -8.41525 -8.34282 -8.34282 -8.23765 -8.23765 -8.18815 -8.18815 -8.13081 -8.13081 -8.09110 -8.09110 -8.04323 -8.04323 -8.01766 -8.01766 -7.92648 -7.92648 -7.89624 -7.89624 -7.80117 -7.80117 -7.77254 -7.77254 -7.74767 -7.74767 -7.72893 -7.72893 -7.70564 -7.70564 -7.62087 -7.62087 -7.49113 -7.49113 -7.21776 -7.21776 -6.83099 -6.83099 -6.11278 -6.11278 -4.27481 -4.27481 -3.69378 -3.69378 -3.40618 -3.40618 -3.07476 -3.07476 -3.01441 -3.01441 -2.70187 -2.70187 -1.38448 -1.38448 -1.08345 -1.08345 -0.65614 -0.65614 -0.38963 -0.38963 -0.27700 -0.27700 -0.22709 -0.22709 
 0.03877 -17.20085 -17.20085 -17.02927 -17.02927 -16.90283 -16.90283 -16.84072 -16.84072 -16.83283 -16.83283 -16.79961 -16.79961 -16.79395 -16.79395 -16.79281 -16.79281 -16.77932 -16.77932 -16.67985 -16.67985 -16.67963 -16.67963 -16.67579 -16.67579 -12.63666 -12.63666 -12.04404 -12.04404 -11.60585 -11.60585 -10.70938 -10.70938 -9.93113 -9.93113 -9.81626 -9.81626 -9.80015 -9.80015 -9.73933 -9.73933 -9.69486 -9.69486 -9.64017 -9.64017 -9.11397 -9.11397 -9.10937 -9.10937 -9.08413 -9.08413 -8.61619 -8.61619 -8.57801 -8.57801 -8.53676 -8.53676 -8.47796 -8.47796 -8.45397 -8.45397 -8.44365 -8.44365 -8.41321 -8.41321 -8.39914 -8.39914 -8.34675 -8.34675 -8.23668 -8.23668 -8.18714 -8.18714 -8.13601 -8.13601 -8.09224 -8.09224 -8.04695 -8.04695 -8.00753 -8.00753 -7.94213 -7.94213 -7.88108 -7.88108 -7.80314 -7.80314 -7.77704 -7.77704 -7.74443 -7.74443 -7.73366 -7.73366 -7.70851 -7.70851 -7.61927 -7.61927 -7.49332 -7.49332 -7.21050 -7.21050 -6.86939 -6.86939 -6.15866 -6.15866 -4.23707 -4.23707 -3.64930 -3.64930 -3.40990 -3.40990 -3.04553 -3.04553 -2.98221 -2.98221 -2.66773 -2.66773 -1.43603 -1.43603 -1.15445 -1.15445 -0.67024 -0.67024 -0.47496 -0.47496 -0.28318 -0.28318 -0.21186 -0.21186 
 0.05815 -17.19384 -17.19384 -17.02259 -17.02259 -16.92054 -16.92054 -16.83890 -16.83890 -16.83230 -16.83230 -16.80529 -16.80529 -16.79255 -16.79255 -16.79021 -16.79021 -16.77034 -16.77034 -16.68330 -16.68330 -16.68071 -16.68071 -16.67970 -16.67970 -12.61112 -12.61112 -12.01714 -12.01714 -11.65322 -11.65322 -10.80503 -10.80503 -9.92337 -9.92337 -9.79367 -9.79367 -9.78960 -9.78960 -9.71656 -9.71656 -9.61023 -9.61023 -9.59549 -9.59549 -9.12359 -9.12359 -9.11338 -9.11338 -9.09584 -9.09584 -8.63023 -8.63023 -8.59708 -8.59708 -8.54019 -8.54019 -8.48712 -8.48712 -8.45875 -8.45875 -8.44417 -8.44417 -8.40645 -8.40645 -8.38100 -8.38100 -8.35181 -8.35181 -8.23606 -8.23606 -8.18782 -8.18782 -8.14120 -8.14120 -8.09588 -8.09588 -8.04971 -8.04971 -7.99518 -7.99518 -7.95830 -7.95830 -7.86670 -7.86670 -7.80561 -7.80561 -7.78083 -7.78083 -7.74844 -7.74844 -7.73489 -7.73489 -7.71118 -7.71118 -7.61818 -7.61818 -7.49671 -7.49671 -7.19817 -7.19817 -6.92945 -6.92945 -6.22901 -6.22901 -4.17987 -4.17987 -3.57882 -3.57882 -3.41676 -3.41676 -3.00494 -3.00494 -2.92155 -2.92155 -2.61059 -2.61059 -1.51803 -1.51803 -1.26178 -1.26178 -0.70909 -0.70909 -0.56890 -0.56890 -0.36114 -0.36114 -0.28336 -0.28336 
 0.07753 -17.18416 -17.18416 -17.01341 -17.01341 -16.94097 -16.94097 -16.83750 -16.83750 -16.83195 -16.83195 -16.81555 -16.81555 -16.78869 -16.78869 -16.78577 -16.78577 -16.76065 -16.76065 -16.68790 -16.68790 -16.68502 -16.68502 -16.68224 -16.68224 -12.57591 -12.57591 -11.97982 -11.97982 -11.71450 -11.71450 -10.91324 -10.91324 -9.91401 -9.91401 -9.79295 -9.79295 -9.75840 -9.75840 -9.68713 -9.68713 -9.55939 -9.55939 -9.48177 -9.48177 -9.14172 -9.14172 -9.12321 -9.12321 -9.10746 -9.10746 -8.64377 -8.64377 -8.61845 -8.61845 -8.55111 -8.55111 -8.49161 -8.49161 -8.46309 -8.46309 -8.44450 -8.44450 -8.39587 -8.39587 -8.37121 -8.37121 -8.35110 -8.35110 -8.23662 -8.23662 -8.19259 -8.19259 -8.14370 -8.14370 -8.10227 -8.10227 -8.05120 -8.05120 -7.99063 -7.99063 -7.96676 -7.96676 -7.85537 -7.85537 -7.80667 -7.80667 -7.78251 -7.78251 -7.75886 -7.75886 -7.73375 -7.73375 -7.71218 -7.71218 -7.61865 -7.61865 -7.50081 -7.50081 -7.18031 -7.18031 -7.00591 -7.00591 -6.31694 -6.31694 -4.10948 -4.10948 -3.49198 -3.49198 -3.42206 -3.42206 -2.95518 -2.95518 -2.83199 -2.83199 -2.53100 -2.53100 -1.62511 -1.62511 -1.39415 -1.39415 -0.81334 -0.81334 -0.61397 -0.61397 -0.52160 -0.52160 -0.31115 -0.31115 
 0.09692 -17.17194 -17.17194 -17.00190 -17.00190 -16.96308 -16.96308 -16.83637 -16.83637 -16.83336 -16.83336 -16.82700 -16.82700 -16.78360 -16.78360 -16.77990 -16.77990 -16.75140 -16.75140 -16.69333 -16.69333 -16.69160 -16.69160 -16.68423 -16.68423 -12.53152 -12.53152 -11.93245 -11.93245 -11.78608 -11.78608 -11.02637 -11.02637 -9.90351 -9.90351 -9.79687 -9.79687 -9.72069 -9.72069 -9.65076 -9.65076 -9.50096 -9.50096 -9.36166 -9.36166 -9.16742 -9.16742 -9.14469 -9.14469 -9.11351 -9.11351 -8.65589 -8.65589 -8.63641 -8.63641 -8.56999 -8.56999 -8.49282 -8.49282 -8.46620 -8.46620 -8.44495 -8.44495 -8.38904 -8.38904 -8.36746 -8.36746 -8.33942 -8.33942 -8.23882 -8.23882 -8.20124 -8.20124 -8.14388 -8.14388 -8.11053 -8.11053 -8.05240 -8.05240 -8.00709 -8.00709 -7.95462 -7.95462 -7.85024 -7.85024 -7.80415 -7.80415 -7.78204 -7.78204 -7.76926 -7.76926 -7.73505 -7.73505 -7.71091 -7.71091 -7.62120 -7.62120 -7.50474 -7.50474 -7.15662 -7.15662 -7.09191 -7.09191 -6.41563 -6.41563 -4.03186 -4.03186 -3.46364 -3.46364 -3.35595 -3.35595 -2.89396 -2.89396 -2.71853 -2.71853 -2.43104 -2.43104 -1.75046 -1.75046 -1.54125 -1.54125 -0.96347 -0.96347 -0.69701 -0.69701 -0.62016 -0.62016 -0.34419 -0.34419 
 0.11630 -17.15735 -17.15735 -16.98828 -16.98828 -16.98623 -16.98623 -16.84569 -16.84569 -16.83531 -16.83531 -16.82999 -16.82999 -16.77747 -16.77747 -16.77278 -16.77278 -16.74346 -16.74346 -16.69931 -16.69931 -16.69898 -16.69898 -16.68670 -16.68670 -12.47860 -12.47860 -11.87604 -11.87604 -11.86402 -11.86402 -11.14007 -11.14007 -9.89226 -9.89226 -9.80364 -9.80364 -9.67656 -9.67656 -9.60849 -9.60849 -9.43747 -9.43747 -9.27236 -9.27236 -9.19865 -9.19865 -9.14784 -9.14784 -9.12037 -9.12037 -8.66603 -8.66603 -8.64974 -8.64974 -8.59155 -8.59155 -8.49527 -8.49527 -8.46900 -8.46900 -8.44512 -8.44512 -8.39569 -8.39569 -8.34950 -8.34950 -8.32695 -8.32695 -8.24324 -8.24324 -8.21019 -8.21019 -8.14537 -8.14537 -8.11979 -8.11979 -8.05555 -8.05555 -8.02608 -8.02608 -7.93769 -7.93769 -7.85145 -7.85145 -7.79965 -7.79965 -7.78540 -7.78540 -7.77137 -7.77137 -7.73816 -7.73816 -7.70812 -7.70812 -7.62612 -7.62612 -7.50701 -7.50701 -7.18462 -7.18462 -7.12189 -7.12189 -6.51909 -6.51909 -3.95194 -3.95194 -3.48650 -3.48650 -3.23018 -3.23018 -2.81939 -2.81939 -2.58778 -2.58778 -2.31606 -2.31606 -1.88483 -1.88483 -1.69361 -1.69361 -1.13131 -1.13131 -0.87868 -0.87868 -0.61337 -0.61337 -0.38111 -0.38111 
 0.13568 -17.14058 -17.14058 -17.00989 -17.00989 -16.97283 -16.97283 -16.86252 -16.86252 -16.83436 -16.83436 -16.83035 -16.83035 -16.77045 -16.77045 -16.76466 -16.76466 -16.73800 -16.73800 -16.70784 -16.70784 -16.70383 -16.70383 -16.68966 -16.68966 -12.41790 -12.41790 -11.94748 -11.94748 -11.80898 -11.80898 -11.25174 -11.25174 -9.88054 -9.88054 -9.81230 -9.81230 -9.62656 -9.62656 -9.56101 -9.56101 -9.37444 -9.37444 -9.28108 -9.28108 -9.23667 -9.23667 -9.13268 -9.13268 -9.06441 -9.06441 -8.67495 -8.67495 -8.65975 -8.65975 -8.61237 -8.61237 -8.50001 -8.50001 -8.47485 -8.47485 -8.44427 -8.44427 -8.40437 -8.40437 -8.32601 -8.32601 -8.31515 -8.31515 -8.25131 -8.25131 -8.21416 -8.21416 -8.15162 -8.15162 -8.13241 -8.13241 -8.06218 -8.06218 -8.03766 -8.03766 -7.92051 -7.92051 -7.85612 -7.85612 -7.79771 -7.79771 -7.79239 -7.79239 -7.76520 -7.76520 -7.74127 -7.74127 -7.70395 -7.70395 -7.63371 -7.63371 -7.50547 -7.50547 -7.27005 -7.27005 -7.08176 -7.08176 -6.62241 -6.62241 -3.87342 -3.87342 -3.51994 -3.51994 -3.08924 -3.08924 -2.73138 -2.73138 -2.45174 -2.45174 -2.20633 -2.20633 -2.00513 -2.00513 -1.83713 -1.83713 -1.30811 -1.30811 -1.06460 -1.06460 -0.59851 -0.59851 -0.41909 -0.41909 
 0.15507 -17.12189 -17.12189 -17.03363 -17.03363 -16.95586 -16.95586 -16.88076 -16.88076 -16.83345 -16.83345 -16.83071 -16.83071 -16.76276 -16.76276 -16.75575 -16.75575 -16.73675 -16.73675 -16.71705 -16.71705 -16.70592 -16.70592 -16.69309 -16.69309 -12.35028 -12.35028 -12.03178 -12.03178 -11.73408 -11.73408 -11.35968 -11.35968 -9.86856 -9.86856 -9.82225 -9.82225 -9.57164 -9.57164 -9.50934 -9.50934 -9.33573 -9.33573 -9.31482 -9.31482 -9.27717 -9.27717 -9.14996 -9.14996 -8.95600 -8.95600 -8.68915 -8.68915 -8.66571 -8.66571 -8.63087 -8.63087 -8.50545 -8.50545 -8.48631 -8.48631 -8.44064 -8.44064 -8.41132 -8.41132 -8.31217 -8.31217 -8.29238 -8.29238 -8.26209 -8.26209 -8.21048 -8.21048 -8.16249 -8.16249 -8.15415 -8.15415 -8.06506 -8.06506 -8.04329 -8.04329 -7.90440 -7.90440 -7.86227 -7.86227 -7.80138 -7.80138 -7.79499 -7.79499 -7.75930 -7.75930 -7.74333 -7.74333 -7.69705 -7.69705 -7.64424 -7.64424 -7.49739 -7.49739 -7.34589 -7.34589 -7.03087 -7.03087 -6.72165 -6.72165 -3.79883 -3.79883 -3.56124 -3.56124 -2.93948 -2.93948 -2.63379 -2.63379 -2.36282 -2.36282 -2.17933 -2.17933 -2.04800 -2.04800 -1.89939 -1.89939 -1.48946 -1.48946 -1.25173 -1.25173 -0.57783 -0.57783 -0.45622 -0.45622 
 0.17445 -17.10153 -17.10153 -17.05705 -17.05705 -16.93773 -16.93773 -16.89971 -16.89971 -16.83259 -16.83259 -16.83121 -16.83121 -16.75474 -16.75474 -16.74628 -16.74628 -16.74033 -16.74033 -16.72669 -16.72669 -16.70443 -16.70443 -16.69692 -16.69692 -12.27673 -12.27673 -12.11571 -12.11571 -11.65107 -11.65107 -11.46265 -11.46265 -9.85651 -9.85651 -9.83307 -9.83307 -9.51310 -9.51310 -9.45550 -9.45550 -9.38862 -9.38862 -9.34209 -9.34209 -9.25282 -9.25282 -9.17513 -9.17513 -8.85653 -8.85653 -8.72050 -8.72050 -8.66480 -8.66480 -8.64613 -8.64613 -8.50897 -8.50897 -8.49918 -8.49918 -8.43406 -8.43406 -8.41800 -8.41800 -8.30327 -8.30327 -8.28130 -8.28130 -8.25388 -8.25388 -8.20106 -8.20106 -8.18572 -8.18572 -8.17430 -8.17430 -8.06113 -8.06113 -8.04852 -8.04852 -7.89034 -7.89034 -7.86933 -7.86933 -7.80361 -7.80361 -7.79826 -7.79826 -7.75464 -7.75464 -7.74539 -7.74539 -7.68632 -7.68632 -7.65732 -7.65732 -7.47984 -7.47984 -7.40690 -7.40690 -6.96909 -6.96909 -6.81384 -6.81384 -3.72976 -3.72976 -3.60986 -3.60986 -2.78593 -2.78593 -2.55917 -2.55917 -2.40020 -2.40020 -2.22683 -2.22683 -2.00533 -2.00533 -1.78521 -1.78521 -1.67092 -1.67092 -1.43693 -1.43693 -0.55246 -0.55246 -0.49132 -0.49132 
