0	-0.80825  	 (0.00000   )
1	-0.29452  	 (0.00000   )
2	-0.29390  	 (-0.00000  )
3	-0.20943  	 (0.00000   )
4	-0.15449  	 (0.00000   )
5	-0.34957  	 (-0.00000  )
6	-0.23566  	 (-0.00000  )
7	-0.22572  	 (0.00000   )
8	-0.26275  	 (0.00000   )
9	-0.06586  	 (-0.00000  )
10	0.07879   	 (0.00000   )
11	-0.02783  	 (-0.00000  )
12	-0.03076  	 (0.00000   )
13	-0.20602  	 (-0.00000  )
14	-0.10598  	 (-0.00000  )
15	-0.05599  	 (0.00000   )
16	-0.22070  	 (-0.00000  )
17	-0.30397  	 (-0.00000  )
18	-0.19999  	 (0.00000   )
19	-0.19556  	 (-0.00000  )
20	-0.47544  	 (0.00000   )
21	-0.45896  	 (-0.00000  )
22	-0.13718  	 (-0.00000  )
23	-0.26043  	 (0.00000   )
24	-0.05903  	 (0.00000   )
25	-0.36082  	 (-0.00000  )
26	-0.00873  	 (-0.00000  )
27	0.06602   	 (0.00000   )
28	0.00924   	 (0.00000   )
29	-0.14943  	 (-0.00000  )
30	-0.29066  	 (0.00000   )
31	0.06831   	 (0.00000   )
32	0.06547   	 (0.00000   )
33	-0.15152  	 (-0.00000  )
34	-0.20293  	 (-0.00000  )
35	0.06713   	 (-0.00000  )
36	0.04534   	 (-0.00000  )
37	-0.08309  	 (0.00000   )
38	-0.06800  	 (-0.00000  )
39	-0.03636  	 (0.00000   )
40	-0.03690  	 (-0.00000  )
41	-0.03373  	 (-0.00000  )
42	-0.02638  	 (0.00000   )
43	-0.14365  	 (-0.00000  )
44	-0.16479  	 (0.00000   )
45	-0.09771  	 (0.00000   )
46	0.12595   	 (0.00000   )
47	-0.10707  	 (-0.00000  )
48	-0.09867  	 (-0.00000  )
49	-0.20016  	 (0.00000   )
50	-0.24303  	 (0.00000   )
51	0.04095   	 (-0.00000  )
52	0.07601   	 (-0.00000  )
53	-0.13820  	 (0.00000   )
54	0.22306   	 (0.00000   )
55	-0.15415  	 (0.00000   )
56	-0.06646  	 (0.00000   )
57	-0.14837  	 (0.00000   )
58	0.06641   	 (0.00000   )
59	0.02287   	 (0.00000   )
60	-0.21863  	 (-0.00000  )
61	0.03135   	 (0.00000   )
62	-0.05353  	 (0.00000   )
63	0.05758   	 (-0.00000  )
64	0.13013   	 (0.00000   )
65	0.00764   	 (-0.00000  )
66	0.37428   	 (0.00000   )
67	0.01254   	 (-0.00000  )
68	0.09256   	 (0.00000   )
69	0.15082   	 (0.00000   )
70	0.02577   	 (0.00000   )
71	0.16793   	 (-0.00000  )
72	0.08994   	 (-0.00000  )
73	-0.07128  	 (-0.00000  )
74	0.16366   	 (-0.00000  )
75	0.28071   	 (-0.00000  )
76	0.04911   	 (-0.00000  )
77	0.20196   	 (-0.00000  )
78	-0.14882  	 (-0.00000  )
79	0.03381   	 (0.00000   )
80	-0.09413  	 (-0.00000  )
81	0.05913   	 (0.00000   )
82	-0.58933  	 (0.00000   )
83	0.10889   	 (-0.00000  )
84	0.17494   	 (0.00000   )
85	0.15932   	 (-0.00000  )
86	0.01785   	 (-0.00000  )
87	0.06743   	 (-0.00000  )
88	0.07176   	 (0.00000   )
89	0.03866   	 (0.00000   )
90	0.22649   	 (0.00000   )
91	-0.09153  	 (-0.00000  )
92	-0.33028  	 (0.00000   )
93	0.05622   	 (0.00000   )
94	-0.33594  	 (-0.00000  )
95	-0.40204  	 (0.00000   )
96	-0.29227  	 (-0.00000  )
97	-0.11956  	 (-0.00000  )
98	0.11242   	 (-0.00000  )
99	0.00238   	 (-0.00000  )
100	-0.36132  	 (-0.00000  )
101	0.14054   	 (-0.00000  )
102	-0.12439  	 (-0.00000  )
103	-0.03084  	 (0.00000   )
104	-0.00466  	 (-0.00000  )
105	0.40894   	 (-0.00000  )
106	-0.08796  	 (-0.00000  )
107	0.20633   	 (0.00000   )
108	0.03496   	 (0.00000   )
109	0.21760   	 (0.00000   )
110	0.19826   	 (-0.00000  )
111	-0.03147  	 (-0.00000  )
112	0.09995   	 (-0.00000  )
113	0.10492   	 (-0.00000  )
114	-0.00871  	 (0.00000   )
115	0.68883   	 (0.00000   )
116	0.00516   	 (0.00000   )
117	0.03731   	 (-0.00000  )
118	0.19258   	 (-0.00000  )
119	0.15280   	 (0.00000   )
120	0.15780   	 (-0.00000  )
121	-0.03215  	 (0.00000   )
122	0.16779   	 (-0.00000  )
123	0.12286   	 (0.00000   )
124	0.14390   	 (0.00000   )
125	-0.02310  	 (0.00000   )
126	0.07893   	 (0.00000   )
127	0.07024   	 (0.00000   )
128	-0.08109  	 (-0.00000  )
129	-0.07034  	 (0.00000   )
130	-0.31628  	 (-0.00000  )
131	0.01491   	 (0.00000   )
132	-0.04830  	 (0.00000   )
133	-0.05313  	 (0.00000   )
134	-0.43247  	 (-0.00000  )
135	-0.11421  	 (0.00000   )
136	0.11559   	 (0.00000   )
137	0.19339   	 (-0.00000  )
138	-0.10225  	 (0.00000   )
139	-0.06145  	 (-0.00000  )
140	-0.09651  	 (0.00000   )
141	0.12882   	 (0.00000   )
142	0.08524   	 (-0.00000  )
143	0.11079   	 (0.00000   )
144	0.09928   	 (0.00000   )
145	-0.00035  	 (-0.00000  )
146	-0.02540  	 (-0.00000  )
147	0.09189   	 (0.00000   )
148	0.16480   	 (-0.00000  )
149	0.14839   	 (0.00000   )
150	-0.11840  	 (0.00000   )
151	-0.03258  	 (-0.00000  )
152	0.12297   	 (0.00000   )
153	0.28268   	 (0.00000   )
154	0.17844   	 (0.00000   )
155	0.02246   	 (0.00000   )
156	0.05367   	 (-0.00000  )
157	0.17683   	 (-0.00000  )
158	0.24953   	 (-0.00000  )
159	0.21828   	 (-0.00000  )
160	0.42366   	 (0.00000   )
