0	0.00006   	0.00029   	0.00017   	1228.46411	 (-0.00000  )
1	-0.00005  	-0.00042  	0.00002   	1250.87624	 (-0.00000  )
2	-0.00022  	-0.00126  	-0.00006  	1242.83803	 (-0.00000  )
3	0.00020   	0.00120   	0.00000   	1249.99846	 (-0.00000  )
4	-0.00002  	-0.00027  	0.00039   	1515.76536	 (0.00000   )
5	0.00014   	-0.00057  	0.00000   	1489.53251	 (-0.00000  )
6	0.00004   	0.00041   	-0.00000  	1517.60262	 (0.00000   )
7	-0.00012  	0.00029   	-0.00036  	1436.64429	 (-0.00000  )
8	0.00097   	0.00007   	0.00050   	1497.85908	 (0.00000   )
9	-0.00071  	-0.00005  	0.00007   	1462.99503	 (-0.00000  )
10	-0.00010  	-0.00003  	0.00106   	1473.49399	 (-0.00000  )
11	-0.00080  	-0.00007  	-0.00186  	1563.51376	 (0.00000   )
12	-0.00066  	-0.00023  	0.00037   	1483.77209	 (-0.00000  )
13	0.00028   	-0.00031  	-0.00033  	1565.93053	 (-0.00000  )
14	0.00042   	0.00063   	-0.00008  	1545.11269	 (0.00000   )
15	-0.00105  	0.00026   	0.00009   	1541.04066	 (0.00000   )
16	0.00106   	0.00008   	-0.00029  	1518.67646	 (-0.00000  )
17	-0.00047  	-0.00022  	-0.00019  	1523.17060	 (-0.00000  )
18	0.00046   	-0.00007  	0.00069   	1521.15566	 (-0.00000  )
19	0.00029   	-0.00001  	-0.00045  	1570.43426	 (-0.00000  )
20	0.00023   	0.00024   	-0.00004  	1493.08316	 (0.00000   )
21	0.00027   	0.00021   	-0.00002  	1505.23985	 (0.00000   )
22	-0.00015  	0.00007   	0.00008   	1496.76830	 (0.00000   )
23	-0.00020  	-0.00017  	0.00011   	1511.15005	 (0.00000   )
24	-0.00053  	-0.00006  	-0.00073  	1531.57711	 (-0.00000  )
25	0.00057   	0.00096   	0.00152   	1533.45484	 (-0.00000  )
26	-0.00189  	0.00075   	-0.00073  	1529.54359	 (-0.00000  )
27	0.00202   	-0.00122  	0.00002   	1525.62937	 (-0.00000  )
28	0.00082   	-0.00043  	-0.00141  	1660.11472	 (0.00000   )
29	0.00004   	-0.00331  	0.00165   	1734.41248	 (-0.00000  )
30	0.00019   	0.00145   	-0.00167  	1676.66026	 (0.00000   )
31	0.00037   	0.00225   	0.00081   	1652.44045	 (0.00000   )
32	0.00138   	-0.00259  	-0.00163  	1691.27982	 (-0.00000  )
33	-0.00206  	0.00476   	-0.00358  	1700.68464	 (0.00000   )
34	0.00081   	-0.00133  	0.00276   	1763.00921	 (0.00000   )
35	0.00162   	0.00817   	0.00091   	1750.99835	 (-0.00000  )
36	-0.00342  	-0.00223  	-0.00310  	1769.72485	 (-0.00000  )
37	0.00500   	-0.00521  	0.00193   	1741.09124	 (0.00000   )
38	-0.00174  	-0.00085  	-0.00238  	1717.11566	 (0.00000   )
39	-0.00026  	0.00479   	-0.00041  	1709.96813	 (0.00000   )
40	-0.00120  	0.01011   	0.01118   	1721.51049	 (-0.00000  )
41	0.00856   	-0.00762  	-0.00384  	1752.15548	 (-0.00000  )
42	0.00575   	-0.00280  	0.00184   	1764.36545	 (0.00000   )
43	-0.00311  	0.00570   	-0.00287  	1753.29975	 (0.00000   )
44	-0.00750  	0.00171   	-0.00140  	1729.72469	 (-0.00000  )
45	-0.00138  	0.00031   	-0.00230  	1698.99668	 (0.00000   )
46	0.00032   	0.00075   	-0.00157  	1691.87579	 (0.00000   )
47	-0.00499  	0.00068   	0.00497   	1654.31426	 (-0.00000  )
48	0.00121   	0.00133   	0.00330   	1614.62576	 (-0.00000  )
49	0.00376   	-0.00445  	-0.00230  	1664.51925	 (0.00000   )
50	-0.00981  	0.01096   	0.00373   	1599.84383	 (0.00000   )
51	0.00582   	-0.00458  	-0.00481  	1696.36707	 (-0.00000  )
52	-0.00100  	-0.00196  	0.00047   	1651.82315	 (-0.00000  )
53	0.00243   	-0.00211  	-0.00301  	1592.14166	 (0.00000   )
54	0.00375   	-0.00092  	0.00168   	1677.58201	 (0.00000   )
55	0.00303   	-0.00131  	-0.00205  	1724.97050	 (0.00000   )
56	-0.00205  	0.00326   	0.00068   	1726.39187	 (0.00000   )
57	-0.00114  	0.00075   	0.00037   	1718.85093	 (-0.00000  )
58	-0.00088  	-0.00177  	-0.00051  	1672.36512	 (-0.00000  )
59	0.00548   	0.00122   	-0.00008  	1719.04216	 (0.00000   )
60	-0.00572  	0.00336   	0.00122   	1737.97715	 (-0.00000  )
61	0.00834   	-0.00246  	0.00367   	1750.91585	 (-0.00000  )
62	-0.00962  	0.00720   	0.00446   	1762.48627	 (-0.00000  )
63	0.00079   	-0.00366  	-0.00500  	1768.04298	 (-0.00000  )
64	0.00926   	0.00435   	-0.00215  	1744.42493	 (0.00000   )
65	-0.01078  	-0.00566  	0.00372   	1704.82915	 (0.00000   )
66	-0.00150  	-0.00284  	-0.00008  	1660.45633	 (-0.00000  )
67	0.00155   	0.00587   	0.00044   	1642.69842	 (-0.00000  )
68	-0.00089  	0.00123   	-0.00041  	1634.99321	 (-0.00000  )
69	0.00428   	0.00146   	0.00082   	1692.24321	 (0.00000   )
70	-0.00338  	-0.00202  	-0.00071  	1688.59956	 (-0.00000  )
71	-0.00428  	0.00060   	0.00288   	1671.14429	 (-0.00000  )
72	0.01133   	0.00227   	0.00304   	1702.91787	 (-0.00000  )
73	-0.00320  	0.00606   	0.00481   	1692.97502	 (-0.00000  )
74	0.00315   	-0.00788  	-0.00385  	1715.35085	 (-0.00000  )
75	-0.00509  	-0.00164  	0.00476   	1733.56891	 (0.00000   )
76	-0.00200  	-0.00054  	-0.01206  	1750.85343	 (-0.00000  )
77	0.00202   	0.00658   	0.00047   	1740.04308	 (-0.00000  )
78	0.00239   	-0.00440  	-0.00220  	1774.10416	 (0.00000   )
79	0.00307   	0.00227   	-0.00219  	1758.86534	 (0.00000   )
80	-0.00477  	-0.00320  	0.00258   	1745.11687	 (-0.00000  )
81	-0.00033  	-0.00022  	-0.00320  	1734.63360	 (0.00000   )
82	-0.00551  	-0.00108  	-0.00166  	1757.89174	 (-0.00000  )
83	0.00015   	-0.00186  	0.00401   	1729.62051	 (0.00000   )
84	0.00138   	0.00168   	0.00225   	1747.72077	 (0.00000   )
85	-0.00439  	-0.00483  	0.00163   	1671.16198	 (-0.00000  )
86	0.00039   	0.00273   	-0.00137  	1691.62746	 (-0.00000  )
87	-0.00200  	0.01404   	-0.00248  	1680.27075	 (-0.00000  )
88	0.01268   	0.00701   	0.02195   	1658.19555	 (-0.00000  )
89	-0.00410  	0.02573   	-0.01830  	1705.15133	 (0.00000   )
90	0.00677   	-0.02657  	0.01256   	1693.94566	 (-0.00000  )
91	-0.00939  	-0.00196  	-0.00818  	1714.38855	 (0.00000   )
92	0.00506   	0.00030   	-0.00208  	1736.04473	 (-0.00000  )
93	-0.00819  	0.00055   	0.00149   	1746.85363	 (0.00000   )
94	0.00745   	-0.01042  	-0.00997  	1748.37620	 (-0.00000  )
95	0.00181   	0.00110   	0.00235   	1757.43972	 (0.00000   )
96	-0.02337  	-0.00720  	0.01086   	1663.16438	 (-0.00000  )
97	0.02118   	-0.00007  	-0.01350  	1690.19673	 (-0.00000  )
98	0.03533   	-0.01015  	0.00699   	1768.83291	 (0.00000   )
99	-0.23891  	-0.03790  	0.01597   	1697.78030	 (0.00000   )
100	0.23549   	0.03463   	-0.01440  	1690.56862	 (0.00000   )
101	0.00108   	-0.00474  	0.00712   	1741.55840	 (0.00000   )
102	-0.00655  	0.00483   	0.01128   	1747.69545	 (0.00000   )
103	0.01816   	-0.00272  	-0.02379  	1732.80095	 (0.00000   )
104	-0.01719  	0.00507   	0.00507   	1735.28277	 (0.00000   )
105	-0.04021  	0.03261   	-0.02184  	1898.09665	 (-0.00000  )
106	0.00094   	-0.00093  	-0.00068  	1595.67939	 (0.00000   )
107	0.02131   	-0.01738  	-0.00014  	1776.03194	 (0.00000   )
108	0.00168   	-0.00050  	-0.00121  	1592.49277	 (0.00000   )
109	-0.00169  	0.00135   	0.00110   	1584.56156	 (0.00000   )
110	0.00016   	0.00078   	0.00097   	1605.00823	 (0.00000   )
111	0.00264   	0.02288   	0.00358   	1830.45188	 (-0.00000  )
112	-0.00655  	-0.01816  	0.00063   	1741.68426	 (0.00000   )
113	-0.00902  	0.01453   	-0.02578  	1717.47936	 (0.00000   )
114	0.03148   	-0.02003  	-0.00136  	1789.61090	 (0.00000   )
115	0.00522   	-0.01815  	-0.00867  	1719.95203	 (0.00000   )
116	0.00509   	0.02520   	-0.00528  	1714.82524	 (0.00000   )
117	-0.03679  	0.01663   	0.00908   	1717.27880	 (-0.00000  )
118	0.02530   	-0.01080  	-0.00115  	1732.59444	 (0.00000   )
119	-0.00043  	0.01463   	-0.00867  	1818.49372	 (-0.00000  )
120	-0.05535  	-0.00739  	0.02584   	1887.41860	 (-0.00000  )
121	0.02403   	0.00504   	-0.01231  	1835.12598	 (0.00000   )
122	0.00233   	0.03429   	-0.01868  	1824.49596	 (-0.00000  )
123	0.01659   	-0.02885  	0.02917   	1814.35579	 (0.00000   )
124	-0.00545  	0.01297   	0.00951   	1823.81240	 (0.00000   )
125	-0.00350  	-0.00194  	-0.01023  	1797.26315	 (0.00000   )
126	-0.01561  	0.03720   	0.01578   	1883.12816	 (0.00000   )
127	0.02546   	-0.04753  	-0.01270  	1871.92245	 (-0.00000  )
128	0.01905   	-0.00612  	0.01326   	1842.35148	 (0.00000   )
129	-0.01692  	-0.00913  	-0.00539  	1843.88234	 (-0.00000  )
130	0.00157   	0.00048   	0.00306   	1864.37356	 (0.00000   )
131	0.00355   	0.01349   	-0.00699  	1919.68762	 (0.00000   )
132	0.00996   	-0.00178  	0.01138   	1864.70470	 (-0.00000  )
133	0.00274   	-0.00637  	-0.00580  	1894.55559	 (0.00000   )
134	-0.00562  	-0.01154  	0.00809   	1831.72144	 (-0.00000  )
135	-0.01590  	-0.01515  	0.00641   	1877.80584	 (-0.00000  )
136	-0.00420  	0.02965   	-0.01181  	1836.58207	 (0.00000   )
137	-0.01381  	-0.01155  	0.00461   	1847.05861	 (-0.00000  )
138	0.02194   	0.00156   	0.01107   	1787.77803	 (-0.00000  )
139	0.02218   	-0.00792  	-0.00582  	1763.20569	 (-0.00000  )
140	0.01348   	-0.02474  	0.06227   	1785.48511	 (0.00000   )
141	0.01439   	0.01697   	-0.06731  	1772.09811	 (-0.00000  )
142	-0.04341  	0.02666   	-0.00351  	1882.24495	 (-0.00000  )
143	0.01786   	0.00676   	-0.00564  	1740.23724	 (-0.00000  )
144	-0.00613  	-0.00003  	0.00913   	1757.40311	 (-0.00000  )
145	-0.00989  	-0.00932  	0.00532   	1778.04451	 (-0.00000  )
146	-0.01238  	0.00355   	0.00031   	1837.39273	 (0.00000   )
