#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.070179969305  0.070179969305  0.008822783244  -0.000042667860   0.078960084689  -0.238919231743
1  0.071319619078  0.071319619078  0.007891485655  -0.000852120243   0.078358984490  -0.191550987972
2  0.071319757717  0.071319757717  0.007891303301  -0.000852159524   0.078358901494  -0.191544956982
3  0.071353630941  0.071353630941  0.007825678867  -0.000848774541   0.078330535267  -0.189851334368
4  0.074780958406  0.074780958406  0.009755962259  -0.000064513771   0.084472406894  -0.263717881390
5  0.074783607904  0.074783607904  0.009755132176  -0.000064586410   0.084474153669  -0.263693317048
6  0.075228203145  0.075228203145  0.009277598147  -0.000438786594   0.084067014698  -0.240516436699
7  0.075906581654  0.075906581654  0.009089855214  -0.000722203123   0.084274233745  -0.227695528109
8  0.075908654856  0.075908654856  0.009089524888  -0.000721677440   0.084276502304  -0.227700844038
9  0.076146123301  0.076146123301  0.009312830974  -0.000171276531   0.085287677745  -0.248754494575
10  0.076560989545  0.076560989545  0.008494347036  -0.001249592853   0.083805743728  -0.197139903969
11  0.076609103130  0.076609103130  0.008403521956  -0.001226978561   0.083785646525  -0.195283792926
12  0.076735369079  0.076735369079  0.008080007909  -0.001209734835   0.083605642154  -0.186949748746
13  0.077040341670  0.077040341670  0.008097535923  -0.000909052551   0.084228825042  -0.195608696432
14  0.077040814767  0.077040814767  0.008097737765  -0.000909703247   0.084228849285  -0.195596482500
15  0.077982560919  0.077982560919  0.006859234498  -0.001050339076   0.083791456341  -0.158068176864
16  0.078043883561  0.078043883561  0.005393197935  -0.000010315296   0.083426766199  -0.146475772624
17  0.078123487134  0.078123487134  0.005318342326  -0.000002093505   0.083439735955  -0.144662573160
18  0.078124258656  0.078124258656  0.005318685789  -0.000002337606   0.083440606839  -0.144665276940
19  0.078321143886  0.078321143886  0.005258046915  -0.000022518305   0.083556672496  -0.142466063211
20  0.078328043223  0.078328043223  0.005446022753  -0.000060644371   0.083713421605  -0.146543685295
21  0.078328755679  0.078328755679  0.005445697167  -0.000060460116   0.083713992729  -0.146539839476
22  0.078351587634  0.078351587634  0.005275125906  -0.000059587702   0.083567125838  -0.141922096294
23  0.078422766771  0.078422766771  0.006168636576  -0.000454660474   0.084136742872  -0.155485289282
24  0.079034700792  0.079034700792  0.005557957769  -0.000093152981   0.084499505580  -0.148704989018
25  0.079059251109  0.079059251109  0.005412686323  -0.000016440084   0.084455497348  -0.146839414911
26  0.079059364960  0.079059364960  0.005412700693  -0.000016476995   0.084455588658  -0.146838801532
27  0.079097641344  0.079097641344  0.005385088554  -0.000011691098   0.084471038800  -0.146217667544
28  0.079375537683  0.079375537683  0.010161325627  -0.000074946607   0.089461916703  -0.274464494066
29  0.079446071505  0.079446071505  0.010451258814  -0.000077079001   0.089820251318  -0.282295956557
30  0.080016083087  0.080016083087  0.010293787439  -0.000158842579   0.090151027947  -0.275786038569
31  0.080215113836  0.080215113836  0.009838382074  -0.000535169842   0.089518326069  -0.253153429341
32  0.080218162399  0.080218162399  0.009823036679  -0.000551710624   0.089489488455  -0.252285761816
33  0.080269488163  0.080269488163  0.010222867154  -0.000062025786   0.090430329531  -0.276490718813
34  0.080840447669  0.080840447669  0.009796185798  -0.000812614671   0.089824018796  -0.244455547366
35  0.080867125213  0.080867125213  0.009192036250  -0.001048316087   0.089010845375  -0.221602026823
36  0.080949880081  0.080949880081  0.009301425219  -0.001132533444   0.089118771855  -0.222286981635
37  0.080951030194  0.080951030194  0.009301212250  -0.001132648177   0.089119594268  -0.222278064421
38  0.081257283068  0.081257283068  0.009372993708  -0.000809838529   0.089820438247  -0.233015440836
39  0.081257931928  0.081257931928  0.009369108132  -0.000810421535   0.089816618525  -0.232893844475
40  0.081273859849  0.081273859849  0.009627813820  -0.000757225824   0.090144447844  -0.241381118183
41  0.081424580657  0.081424580657  0.009403330292  -0.000955239723   0.089872671226  -0.229884371713
42  0.081512979931  0.081512979931  0.009636392701  -0.000313695619   0.090835677012  -0.253683639355
43  0.081514461423  0.081514461423  0.009636404070  -0.000314138615   0.090836726878  -0.253671894199
44  0.081883326570  0.081883326570  0.009101445721  -0.000504270619   0.090480501672  -0.233941170567
45  0.082131819354  0.082131819354  0.008629880379  -0.001378582081   0.089383117652  -0.197317978496
46  0.082133711080  0.082133711080  0.008627122426  -0.001377784190   0.089383049316  -0.197264642480
47  0.082278123141  0.082278123141  0.007162858253  -0.000052137606   0.089388843788  -0.193492663812
48  0.082479352789  0.082479352789  0.006755343462  -0.000456700888   0.088777995363  -0.171394882545
