#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.068664714962  0.068664714962  0.007958625530  -0.000026171710   0.076597168782  -0.215853173885
1  0.069711609372  0.069711609372  0.007388249021  -0.000883431904   0.076216426489  -0.177005180507
2  0.069767813203  0.069767813203  0.007355720877  -0.000919756472   0.076203777607  -0.175131601797
3  0.069803510336  0.069803510336  0.007325200833  -0.000942549254   0.076186161915  -0.173680885187
4  0.073602501135  0.073602501135  0.008313952376  -0.000055005036   0.081861448475  -0.224737519635
5  0.073673480155  0.073673480155  0.008241273536  -0.000072695344   0.081842058346  -0.222278448600
6  0.073950413322  0.073950413322  0.008137916579  -0.000204733914   0.081883595987  -0.215873006782
7  0.074347706252  0.074347706252  0.008078755574  -0.000353990268   0.082072471557  -0.210201678638
8  0.074413338952  0.074413338952  0.007993514099  -0.000319371804   0.082087481247  -0.208824155644
9  0.074447196593  0.074447196593  0.008006935263  -0.000289923614   0.082164208242  -0.209990690784
10  0.074966603974  0.074966603974  0.007674452739  -0.001138481975   0.081502574738  -0.177852914850
11  0.075012671129  0.075012671129  0.007590484214  -0.001145317010   0.081457838333  -0.175382022867
12  0.075160088331  0.075160088331  0.007597410939  -0.001095241281   0.081662257989  -0.176933139424
13  0.075198391556  0.075198391556  0.007543650445  -0.001048552781   0.081693489221  -0.176740700589
14  0.075361428060  0.075361428060  0.007541969211  -0.001181820935   0.081721576335  -0.173068538773
15  0.075991745418  0.075991745418  0.006600513783  -0.001308267273   0.081283991928  -0.144009436701
16  0.076398587740  0.076398587740  0.004951891456  -0.000004935454   0.081345543741  -0.134613598542
17  0.076505558058  0.076505558058  0.004992029200  -0.000039012810   0.081458574447  -0.134778510175
18  0.076599272316  0.076599272316  0.004930223282  -0.000028521958   0.081500973641  -0.133382155424
19  0.076630678291  0.076630678291  0.004984624529  -0.000059739564   0.081555563255  -0.134013014721
20  0.076656464094  0.076656464094  0.004990169296  -0.000047286154   0.081599347236  -0.134502770323
21  0.076748487513  0.076748487513  0.004968486056  -0.000020540393   0.081696433175  -0.134640528596
22  0.076831991390  0.076831991390  0.004947183440  -0.000037132227   0.081742042603  -0.133609367575
23  0.076851400949  0.076851400949  0.004996799750  -0.000073863533   0.081774337167  -0.133959986579
24  0.077212134802  0.077212134802  0.005097125533  -0.000020767061   0.082288493274  -0.138134820925
25  0.077221242840  0.077221242840  0.005144461242  -0.000056828777   0.082308875304  -0.138441602041
26  0.077237287112  0.077237287112  0.005129683756  -0.000049153274   0.082317817595  -0.138248347173
27  0.077257511969  0.077257511969  0.005488551196  -0.000288603152   0.082457460013  -0.141497866186
28  0.078074361908  0.078074361908  0.008231584609  -0.000049869163   0.086256077354  -0.222635931690
29  0.078634305808  0.078634305808  0.008120456785  -0.000298148466   0.086456614127  -0.212855960578
30  0.078743034718  0.078743034718  0.008021457561  -0.000346591194   0.086417901085  -0.208843858654
31  0.078980065653  0.078980065653  0.008409699336  -0.000106544069   0.087283220920  -0.225940479241
32  0.079055511441  0.079055511441  0.008028574512  -0.000787291096   0.086296794857  -0.197045459555
33  0.079112084779  0.079112084779  0.008344235853  -0.000140761100   0.087315559533  -0.223228032912
34  0.079329653737  0.079329653737  0.007935773989  -0.000337355112   0.086928072614  -0.206763615451
35  0.079359923197  0.079359923197  0.007989344968  -0.000284374413   0.087064893753  -0.209663035780
36  0.079396678784  0.079396678784  0.008151506255  -0.000201354632   0.087346830407  -0.216334755872
37  0.079761560949  0.079761560949  0.007970414288  -0.000310126535   0.087421848702  -0.208447154170
38  0.079845524951  0.079845524951  0.008172921958  -0.000503523247   0.087514923662  -0.208695076063
39  0.079898790658  0.079898790658  0.008037921072  -0.000750591081   0.087186120649  -0.198298451318
40  0.079929263907  0.079929263907  0.008030831309  -0.000521532988   0.087438562228  -0.204338520340
41  0.079961717382  0.079961717382  0.008028804181  -0.000453784456   0.087536737108  -0.206126891758
42  0.080071990263  0.080071990263  0.007916281205  -0.000576126070   0.087412145398  -0.199735897436
43  0.080129006156  0.080129006156  0.007809268432  -0.000562014806   0.087376259782  -0.197207917307
44  0.080163021556  0.080163021556  0.007895463382  -0.000649833446   0.087408651492  -0.197163734440
45  0.080356841276  0.080356841276  0.007781704376  -0.001147468044   0.086991077608  -0.180526858521
46  0.080396025443  0.080396025443  0.006598756811  -0.000798063219   0.086196719034  -0.157844993592
47  0.080436656468  0.080436656468  0.006764834461  -0.000806231793   0.086395259136  -0.162141920643
48  0.080497621537  0.080497621537  0.006314899477  -0.000587852495   0.086224668520  -0.155840966251
49  0.080553092007  0.080553092007  0.005363980764  -0.000027873649   0.085889199122  -0.145202945166
50  0.080716805965  0.080716805965  0.007394405912  -0.001055416840   0.087055795037  -0.172492767228
51  0.080756176411  0.080756176411  0.006974726343  -0.000840512254   0.086890390500  -0.166920553261
52  0.080859579466  0.080859579466  0.006259113964  -0.000570779877   0.086547913553  -0.154787534173
53  0.080918296262  0.080918296262  0.006605763462  -0.000797719037   0.086726340687  -0.158045020070
54  0.080982134528  0.080982134528  0.006385194079  -0.000558138223   0.086809190383  -0.158562347697
55  0.080987356960  0.080987356960  0.006068348050  -0.000262964239   0.086792740771  -0.157972621035
56  0.081095994977  0.081095994977  0.006710293692  -0.000871634056   0.086934654612  -0.158878102805
57  0.081232156515  0.081232156515  0.005956844470  -0.000470258935   0.086718742050  -0.149297673616
58  0.081549012838  0.081549012838  0.005426578902  -0.000007992355   0.086967599385  -0.147447325960
59  0.081596664454  0.081596664454  0.005433702063  -0.000036195062   0.086994171455  -0.146873722008
60  0.081613520450  0.081613520450  0.005404481421  -0.000046422725   0.086971579145  -0.145800278377
61  0.081633093765  0.081633093765  0.005403048206  -0.000042327907   0.086993814064  -0.145872704349
62  0.081722284126  0.081722284126  0.008526991274  -0.000039002923   0.090210272477  -0.230970046210
63  0.081724158675  0.081724158675  0.005469099197  -0.000387014638   0.086806243234  -0.138290635757
64  0.081781105469  0.081781105469  0.005559878053  -0.000434639255   0.086906344267  -0.139464923025
65  0.081845056732  0.081845056732  0.005460854092  -0.000020553354   0.087285357470  -0.148038199511
66  0.081853553296  0.081853553296  0.005324475686  -0.000054094129   0.087123934853  -0.143414460697
67  0.081864812863  0.081864812863  0.005184269611  -0.000070840702   0.086978241772  -0.139143559416
68  0.081875744647  0.081875744647  0.005342339160  -0.000060115065   0.087157968742  -0.143736712737
69  0.081900730017  0.081900730017  0.005208374780  -0.000061282817   0.087047821980  -0.140059578256
70  0.081924770580  0.081924770580  0.005382119221  -0.000095189312   0.087211700489  -0.143864764523
71  0.081988294355  0.081988294355  0.004999420389  -0.000040493686   0.086947221058  -0.134939338098
72  0.082010114443  0.082010114443  0.005124869729  -0.000051989543   0.087082994629  -0.138040171881
73  0.082040802398  0.082040802398  0.004926109261  -0.000018785751   0.086948125908  -0.133535142964
74  0.082073799155  0.082073799155  0.005218966120  -0.000140016865   0.087152748410  -0.138205319749
75  0.082122397571  0.082122397571  0.005198972330  -0.000164817332   0.087156552568  -0.136986405307
76  0.082179441059  0.082179441059  0.004960562941  -0.000071870724   0.087068133275  -0.133028159386
77  0.082202428523  0.082202428523  0.005069182962  -0.000099851494   0.087171759991  -0.135222466298
78  0.082332656415  0.082332656415  0.004962727045  -0.000055729484   0.087239653976  -0.133526273424
79  0.082396003761  0.082396003761  0.004934931187  -0.000142014620   0.087188920328  -0.130421969869
80  0.082434218688  0.082434218688  0.004865157643  -0.000135122303   0.087164254029  -0.128710883667
81  0.082533402789  0.082533402789  0.005091715574  -0.000082960915   0.087542157448  -0.136295226526
82  0.082541971000  0.082541971000  0.004850472683  -0.000023334672   0.087369109011  -0.131353183278
83  0.082567521611  0.082567521611  0.008096738245  -0.000712473471   0.089951786385  -0.200936182468
84  0.082592416564  0.082592416564  0.005003356054  -0.000167322942   0.087428449676  -0.131595231424
85  0.082603477728  0.082603477728  0.008020950410  -0.000720779921   0.089903648217  -0.198647859239
86  0.082611476150  0.082611476150  0.005013408866  -0.000181768079   0.087443116937  -0.131475710106
87  0.082629276197  0.082629276197  0.004991271869  -0.000102544816   0.087518003250  -0.133029107339
