#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.071690529471  0.071690529471  0.007779344470  -0.000020421519   0.079449452422  -0.211131155979
1  0.072626437891  0.072626437891  0.007538061273  -0.000905591441   0.079258907723  -0.180478789593
2  0.072666188781  0.072666188781  0.007410642707  -0.000875725394   0.079201106094  -0.177824248982
3  0.072684331102  0.072684331102  0.007388486675  -0.000886111514   0.079186706263  -0.176938731451
4  0.075251011040  0.075251011040  0.008237571840  -0.000044591079   0.083443991801  -0.222942476675
5  0.076107068654  0.076107068654  0.007888597122  -0.000741139410   0.083254526365  -0.194492330776
6  0.076126794523  0.076126794523  0.007835275148  -0.000725628225   0.083236441446  -0.193463446292
7  0.077124109037  0.077124109037  0.007656002303  -0.001617194745   0.083162916595  -0.164324407987
8  0.078081455363  0.078081455363  0.007843483842  -0.000032652945   0.085892286261  -0.212543643897
9  0.078352053001  0.078352053001  0.007825524442  -0.000080865407   0.086096712035  -0.210743014846
10  0.078493960391  0.078493960391  0.006761566056  -0.000241679076   0.085013847371  -0.177415252577
11  0.078673621647  0.078673621647  0.006599981647  -0.000632904872   0.084640698422  -0.162372512963
12  0.078782354577  0.078782354577  0.005268135957  -0.000358407299   0.083692083235  -0.133600590406
13  0.078843268341  0.078843268341  0.006057509517  -0.000488524956   0.084412252903  -0.151539866496
14  0.078967710816  0.078967710816  0.005680864426  -0.000090568814   0.084558006428  -0.152119770020
15  0.079229629979  0.079229629979  0.006107475441  -0.000221125027   0.085115980393  -0.160175835649
16  0.079279662441  0.079279662441  0.006583858465  -0.000348156508   0.085515364398  -0.169682180231
17  0.079453350173  0.079453350173  0.007557038270  -0.001061169002   0.085949219441  -0.176761697010
18  0.079489190661  0.079489190661  0.007487111460  -0.001031005459   0.085945296662  -0.175679682838
19  0.079717585591  0.079717585591  0.008497516876  -0.000163200151   0.088051902316  -0.226788426132
20  0.079886293121  0.079886293121  0.006516870433  -0.000911253478   0.085491910076  -0.152536685208
21  0.080637087807  0.080637087807  0.008455728601  -0.001035218331   0.088057598077  -0.201922473171
22  0.080652262515  0.080652262515  0.005577655890  -0.000052487079   0.086177431327  -0.150347578597
23  0.080670534480  0.080670534480  0.005534029621  -0.000046376065   0.086158188037  -0.149326735980
24  0.080790792847  0.080790792847  0.005525388028  -0.000081149870   0.086235031004  -0.148145342192
25  0.080837281093  0.080837281093  0.005598324157  -0.000155158995   0.086280446255  -0.148116144492
26  0.080915625071  0.080915625071  0.007821503836  -0.000707767295   0.088029361611  -0.193574730502
27  0.081163377294  0.081163377294  0.007565756708  -0.000855140446   0.087873993556  -0.182605263354
28  0.081278989111  0.081278989111  0.005904939129  -0.000092491796   0.087091436444  -0.158164829351
29  0.081300242154  0.081300242154  0.005836151085  -0.000070963133   0.087065430106  -0.156878835446
