 0.53718 -17.61507 -17.61507 -17.17964 -17.17964 -17.15902 -17.15902 -10.83298 -10.83298 -10.02400 -10.02400 -9.86933 -9.86933 -9.42690 -9.42690 -8.90860 -8.90860 -8.33058 -8.33058 -8.31967 -8.31967 -7.91251 -7.91251 -7.84102 -7.84102 -7.81569 -7.81569 -1.40543 -1.40543 -0.28753 -0.28753 -0.19156 -0.19156 
 0.56362 -17.59892 -17.59892 -17.19471 -17.19471 -17.15881 -17.15881 -10.98208 -10.98208 -10.01785 -10.01785 -9.84457 -9.84457 -9.24950 -9.24950 -8.90986 -8.90986 -8.32661 -8.32661 -8.29505 -8.29505 -7.92822 -7.92822 -7.85083 -7.85083 -7.80714 -7.80714 -1.67360 -1.67360 -0.27146 -0.27146 -0.14328 -0.14328 
 0.59005 -17.57940 -17.57940 -17.21302 -17.21302 -17.15859 -17.15859 -11.11368 -11.11368 -10.01096 -10.01096 -9.82351 -9.82351 -9.09988 -9.09988 -8.90974 -8.90974 -8.32130 -8.32130 -8.24996 -8.24996 -7.94955 -7.94955 -7.85864 -7.85864 -7.78900 -7.78900 -1.97843 -1.97843 -0.25314 -0.25314 -0.17772 -0.17772 
 0.61649 -17.55761 -17.55761 -17.23362 -17.23362 -17.15836 -17.15836 -11.22433 -11.22433 -10.00399 -10.00399 -9.80420 -9.80420 -8.99944 -8.99944 -8.90447 -8.90447 -8.31478 -8.31478 -8.18654 -8.18654 -7.97424 -7.97424 -7.86425 -7.86425 -7.75402 -7.75402 -2.28847 -2.28847 -0.23424 -0.23424 -0.22904 -0.22904 
 0.64292 -17.53515 -17.53515 -17.25499 -17.25499 -17.15816 -17.15816 -11.31200 -11.31200 -9.99765 -9.99765 -9.78706 -9.78706 -8.95510 -8.95510 -8.88727 -8.88727 -8.30752 -8.30752 -8.12270 -8.12270 -7.99905 -7.99905 -7.86813 -7.86813 -7.69625 -7.69625 -2.57246 -2.57246 -0.27203 -0.27203 -0.21665 -0.21665 
 0.66936 -17.51445 -17.51445 -17.27484 -17.27484 -17.15799 -17.15799 -11.37542 -11.37542 -9.99256 -9.99256 -9.77334 -9.77334 -8.94412 -8.94412 -8.86810 -8.86810 -8.30049 -8.30049 -8.07726 -8.07726 -8.02049 -8.02049 -7.87067 -7.87067 -7.62373 -7.62373 -2.80190 -2.80190 -0.30152 -0.30152 -0.20231 -0.20231 
 0.69580 -17.49909 -17.49909 -17.28965 -17.28965 -17.15788 -17.15788 -11.41377 -11.41377 -9.98928 -9.98928 -9.76439 -9.76439 -8.94187 -8.94187 -8.85792 -8.85792 -8.29518 -8.29518 -8.05331 -8.05331 -8.03520 -8.03520 -7.87211 -7.87211 -7.56241 -7.56241 -2.95189 -2.95189 -0.31827 -0.31827 -0.19291 -0.19291 
 0.72223 -17.49326 -17.49326 -17.29527 -17.29527 -17.15784 -17.15784 -11.42660 -11.42660 -9.98815 -9.98815 -9.76127 -9.76127 -8.94153 -8.94153 -8.85504 -8.85504 -8.29315 -8.29315 -8.04607 -8.04607 -8.04047 -8.04047 -7.87256 -7.87256 -7.53852 -7.53852 -3.00410 -3.00410 -0.32356 -0.32356 -0.18963 -0.18963 
 0.74867 -17.49097 -17.49097 -17.29521 -17.29521 -17.15955 -17.15955 -11.45000 -11.45000 -9.97470 -9.97470 -9.74758 -9.74758 -8.93923 -8.93923 -8.85147 -8.85147 -8.29901 -8.29901 -8.06739 -8.06739 -8.01759 -8.01759 -7.87290 -7.87290 -7.52840 -7.52840 -3.01334 -3.01334 -0.40237 -0.40237 -0.15757 -0.15757 
 0.77510 -17.48416 -17.48416 -17.29505 -17.29505 -17.16467 -17.16467 -11.51352 -11.51352 -9.94460 -9.94460 -9.70530 -9.70530 -8.93017 -8.93017 -8.84169 -8.84169 -8.31506 -8.31506 -8.08833 -8.08833 -7.99519 -7.99519 -7.87158 -7.87158 -7.49800 -7.49800 -3.04097 -3.04097 -0.59121 -0.59121 -0.13897 -0.13897 
 0.80154 -17.47305 -17.47305 -17.29479 -17.29479 -17.17314 -17.17314 -11.60220 -11.60220 -9.91470 -9.91470 -9.63921 -9.63921 -8.90917 -8.90917 -8.82754 -8.82754 -8.33773 -8.33773 -8.10677 -8.10677 -7.98294 -7.98294 -7.86289 -7.86289 -7.44713 -7.44713 -3.08686 -3.08686 -0.87454 -0.87454 -0.16564 -0.16564 
 0.82797 -17.45801 -17.45801 -17.29446 -17.29446 -17.18486 -17.18486 -11.70090 -11.70090 -9.89087 -9.89087 -9.56723 -9.56723 -8.87142 -8.87142 -8.81056 -8.81056 -8.36332 -8.36332 -8.12307 -8.12307 -7.98428 -7.98428 -7.84417 -7.84417 -7.37557 -7.37557 -3.15121 -3.15121 -1.21261 -1.21261 -0.20667 -0.20667 
 0.85441 -17.43952 -17.43952 -17.29410 -17.29410 -17.19965 -17.19965 -11.79802 -11.79802 -9.87172 -9.87172 -9.50794 -9.50794 -8.81864 -8.81864 -8.79059 -8.79059 -8.38886 -8.38886 -8.13677 -8.13677 -7.99538 -7.99538 -7.81957 -7.81957 -7.28406 -7.28406 -3.23476 -3.23476 -1.55440 -1.55440 -0.24220 -0.24220 
 0.88084 -17.41820 -17.41820 -17.29375 -17.29375 -17.21724 -17.21724 -11.88553 -11.88553 -9.85571 -9.85571 -9.46862 -9.46862 -8.77941 -8.77941 -8.74885 -8.74885 -8.41196 -8.41196 -8.14657 -8.14657 -8.01129 -8.01129 -7.79422 -7.79422 -7.17617 -7.17617 -3.33768 -3.33768 -1.86158 -1.86158 -0.26933 -0.26933 
 0.90728 -17.39484 -17.39484 -17.29345 -17.29345 -17.23722 -17.23722 -11.95806 -11.95806 -9.84247 -9.84247 -9.44654 -9.44654 -8.76023 -8.76023 -8.69358 -8.69358 -8.43049 -8.43049 -8.15104 -8.15104 -8.02889 -8.02889 -7.77147 -7.77147 -7.06072 -7.06072 -3.45553 -3.45553 -2.10839 -2.10839 -0.28896 -0.28896 
 0.93371 -17.37050 -17.37050 -17.29327 -17.29327 -17.25880 -17.25880 -12.01206 -12.01206 -9.83236 -9.83236 -9.43575 -9.43575 -8.74485 -8.74485 -8.65313 -8.65313 -8.44269 -8.44269 -8.14985 -8.14985 -8.04590 -8.04590 -7.75357 -7.75357 -6.95347 -6.95347 -3.57280 -3.57280 -2.28211 -2.28211 -0.30216 -0.30216 
 0.96015 -17.34728 -17.34728 -17.29358 -17.29358 -17.27982 -17.27982 -12.04529 -12.04529 -9.82595 -9.82595 -9.43125 -9.43125 -8.73414 -8.73414 -8.63147 -8.63147 -8.44850 -8.44850 -8.14531 -8.14531 -8.05941 -8.05941 -7.74213 -7.74213 -6.87556 -6.87556 -3.66219 -3.66219 -2.38255 -2.38255 -0.30975 -0.30975 
 0.98659 -17.33425 -17.33425 -17.29623 -17.29623 -17.28952 -17.28952 -12.05650 -12.05650 -9.82375 -9.82375 -9.43008 -9.43008 -8.73023 -8.73023 -8.62513 -8.62513 -8.44995 -8.44995 -8.14261 -8.14261 -8.06489 -8.06489 -7.73818 -7.73818 -6.84677 -6.84677 -3.69582 -3.69582 -2.41508 -2.41508 -0.31218 -0.31218 
