#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.069923726609  0.069923726609  0.007862602020  -0.000043108717   0.077743219913  -0.212779360085
1  0.070728586855  0.070728586855  0.007328040909  -0.000699187722   0.077357440042  -0.180380375601
2  0.070846185735  0.070846185735  0.007257329039  -0.000765988516   0.077337526258  -0.176638463510
3  0.070894420082  0.070894420082  0.007217888376  -0.000815849211   0.077296459247  -0.174208448536
4  0.074114261337  0.074114261337  0.008354836313  -0.000094711945   0.082374385706  -0.224769548241
5  0.074213692815  0.074213692815  0.008298481171  -0.000137450052   0.082374723934  -0.222073082197
6  0.074227105247  0.074227105247  0.008309670672  -0.000132811814   0.082403964105  -0.222503777130
7  0.074723326353  0.074723326353  0.008236613109  -0.000304287336   0.082655652126  -0.215849689539
8  0.074744899902  0.074744899902  0.008251671320  -0.000289858552   0.082706712669  -0.216652071932
9  0.074792374527  0.074792374527  0.008205865869  -0.000359765552   0.082638474844  -0.213503374163
10  0.075292450693  0.075292450693  0.007724596335  -0.000938436325   0.082078610703  -0.184660914497
11  0.075319736810  0.075319736810  0.007598527531  -0.000906828395   0.082011435946  -0.182090501884
12  0.075435828148  0.075435828148  0.007725468200  -0.001008817223   0.082152479124  -0.182769476390
13  0.075507378712  0.075507378712  0.007520053642  -0.000963024993   0.082064407362  -0.178425929386
14  0.075678717078  0.075678717078  0.007451227386  -0.001096804000   0.082033140464  -0.172912756547
15  0.076278302155  0.076278302155  0.006848956041  -0.001271509399   0.081855748796  -0.151770131535
16  0.076873084903  0.076873084903  0.004897570970  -0.000003330188   0.081767325685  -0.133179143618
17  0.076885026309  0.076885026309  0.004901880883  -0.000004141993   0.081782765199  -0.133274332041
18  0.076938414796  0.076938414796  0.004928186148  -0.000002826058   0.081863774886  -0.134025943554
19  0.077151709853  0.077151709853  0.005037447922  -0.000158315129   0.082030842645  -0.132768034076
20  0.077183217157  0.077183217157  0.004891550637  -0.000014951851   0.082059815942  -0.132699080184
21  0.077279525943  0.077279525943  0.004973532690  -0.000074243733   0.082178814900  -0.133316511510
22  0.077280310610  0.077280310610  0.005050176477  -0.000171103032   0.082159384055  -0.132766419155
23  0.077314226562  0.077314226562  0.004940331104  -0.000020083444   0.082234474222  -0.133886827165
24  0.077546461596  0.077546461596  0.004999329905  -0.000113802863   0.082431988638  -0.132942030538
25  0.077568007938  0.077568007938  0.004822567574  -0.000003055171   0.082387520341  -0.131145679800
26  0.077581261143  0.077581261143  0.004927018220  -0.000098738227   0.082409541136  -0.131384258206
27  0.077583457343  0.077583457343  0.004891329783  -0.000059749914   0.082415037212  -0.131474052452
28  0.078497543585  0.078497543585  0.008590400325  -0.000148251755   0.086939692155  -0.229722681599
29  0.078528581454  0.078528581454  0.008521889957  -0.000141724030   0.086908747382  -0.228036047125
30  0.078603757978  0.078603757978  0.008578315012  -0.000193898086   0.086988174904  -0.228151722757
31  0.078660480455  0.078660480455  0.008545236745  -0.000160565632   0.087045151568  -0.228158639518
32  0.078781962068  0.078781962068  0.008535750373  -0.000215664960   0.087102047482  -0.226401172212
33  0.079089376512  0.079089376512  0.008460228182  -0.000199296674   0.087350308020  -0.224791511638
34  0.079351981063  0.079351981063  0.008384650009  -0.000334986466   0.087401644607  -0.219042614548
35  0.079386879432  0.079386879432  0.008253013844  -0.000454450901   0.087185442374  -0.212209815652
36  0.079423113723  0.079423113723  0.008334036954  -0.000364161114   0.087392989563  -0.216871479452
37  0.079486572011  0.079486572011  0.008232875566  -0.000436351076   0.087283096500  -0.212154346496
38  0.079567926769  0.079567926769  0.008119924658  -0.000671662842   0.087016188585  -0.202677631582
39  0.079578577618  0.079578577618  0.008093985275  -0.000699924118   0.086972638776  -0.201202755786
