75	-0.01635  	-0.06827  	-0.00238  	1.38923   	 (-0.00000  )
76	0.01648   	0.06718   	-0.00809  	1.64365   	 (0.00000   )
77	-0.00099  	0.00527   	-0.00133  	1.54735   	 (-0.00000  )
78	-0.00253  	-0.00669  	0.00996   	1.63262   	 (-0.00000  )
79	0.00049   	-0.00146  	-0.00007  	1.56071   	 (-0.00000  )
80	-0.00031  	0.00087   	0.00089   	1.46182   	 (0.00000   )
81	0.00217   	0.00217   	0.00101   	1.52536   	 (-0.00000  )
82	-0.02721  	0.01230   	0.00092   	1.52135   	 (0.00000   )
83	0.02839   	-0.00978  	-0.00047  	1.56576   	 (0.00000   )
84	-0.00156  	-0.00134  	-0.00095  	1.45356   	 (0.00000   )
85	-0.00336  	-0.00062  	-0.00034  	1.63946   	 (-0.00000  )
86	0.00076   	-0.00083  	0.00043   	1.61145   	 (0.00000   )
87	0.00226   	0.00054   	0.00023   	1.66291   	 (-0.00000  )
88	-0.00069  	-0.00038  	0.00112   	1.69301   	 (0.00000   )
89	0.00191   	-0.00185  	0.00040   	1.46548   	 (0.00000   )
90	0.00132   	0.00302   	-0.00078  	1.68476   	 (-0.00000  )
91	-0.00140  	0.00030   	0.00007   	1.32029   	 (-0.00000  )
92	0.00193   	0.00153   	-0.00077  	1.71514   	 (-0.00000  )
93	-0.00686  	0.00197   	-0.00058  	1.47828   	 (0.00000   )
94	0.00209   	-0.00527  	0.00166   	1.70547   	 (0.00000   )
95	0.00121   	-0.00080  	-0.00082  	1.49390   	 (-0.00000  )
96	0.00521   	0.00090   	-0.00183  	1.56535   	 (-0.00000  )
97	-0.00433  	-0.00101  	-0.00015  	1.29005   	 (0.00000   )
98	-0.00072  	-0.00141  	0.00022   	1.29172   	 (-0.00000  )
99	0.00209   	0.00768   	-0.00002  	1.74794   	 (-0.00000  )
100	0.00387   	-0.00666  	0.00122   	1.30804   	 (-0.00000  )
101	-0.00772  	-0.00043  	0.00105   	1.54280   	 (0.00000   )
102	-0.00082  	-0.00032  	-0.00154  	1.52746   	 (-0.00000  )
103	0.00497   	-0.00496  	0.00143   	1.80946   	 (0.00000   )
104	-0.00786  	0.00455   	0.00139   	1.50431   	 (-0.00000  )
105	0.01997   	-0.00896  	-0.01464  	1.61258   	 (0.00000   )
106	-0.00496  	0.02676   	0.01300   	1.60268   	 (-0.00000  )
107	-0.00696  	-0.01525  	0.00018   	1.43609   	 (0.00000   )
108	-0.01063  	-0.00056  	-0.01914  	1.79906   	 (-0.00000  )
109	0.00629   	0.00729   	0.01870   	1.66552   	 (-0.00000  )
110	0.00294   	-0.00632  	-0.01063  	1.61643   	 (0.00000   )
111	0.01860   	-0.00448  	-0.00441  	1.76033   	 (0.00000   )
112	0.01192   	0.00676   	0.00596   	1.45683   	 (-0.00000  )
113	0.00264   	-0.01294  	-0.01374  	1.49983   	 (0.00000   )
114	-0.00161  	0.00051   	0.01686   	1.51033   	 (0.00000   )
115	-0.02359  	0.00595   	0.00017   	1.50339   	 (-0.00000  )
116	0.01591   	0.00048   	0.00191   	1.49291   	 (0.00000   )
117	-0.01644  	-0.00469  	0.00541   	1.65264   	 (0.00000   )
118	-0.00825  	-0.00033  	0.01647   	1.62007   	 (0.00000   )
