#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.085564331746  0.085564331746  0.014853224101  -0.000003363525   0.100414192322  -0.404085496091
1  0.088536123170  0.088536123170  0.012292617362  -0.001904787590   0.098923952942  -0.282667391065
2  0.088540394674  0.088540394674  0.012301550547  -0.001920641662   0.098921303560  -0.282479064039
3  0.088547280467  0.088547280467  0.012305690778  -0.001936276830   0.098916694415  -0.282166270712
4  0.092239084089  0.092239084089  0.015973368929  -0.000166408300   0.108046044718  -0.430129528469
5  0.092257700193  0.092257700193  0.015947953245  -0.000169065936   0.108036587503  -0.429365614127
6  0.092268101447  0.092268101447  0.015930181798  -0.000167662028   0.108030621218  -0.428920230475
7  0.094626155819  0.094626155819  0.012764544200  -0.001159303843   0.106231396176  -0.315794837444
8  0.094630799514  0.094630799514  0.012748754875  -0.001152804106   0.106226750283  -0.315542054761
9  0.094636862399  0.094636862399  0.012727844756  -0.001148295398   0.106216411758  -0.315095749414
10  0.095637367947  0.095637367947  0.017237665745  -0.000028247628   0.112846786065  -0.468292360151
11  0.095651865011  0.095651865011  0.017212558625  -0.000028455807   0.112835967829  -0.467603495423
12  0.096126006996  0.096126006996  0.011679289646  -0.001725800059   0.106079496583  -0.270848386548
13  0.096138234249  0.096138234249  0.011970404312  -0.001926145489   0.106182493072  -0.273318344530
14  0.096142699296  0.096142699296  0.012286321132  -0.002123479324   0.106305541104  -0.276545153566
15  0.096145996654  0.096145996654  0.012258591715  -0.002109632651   0.106294955718  -0.276167384686
16  0.096156410696  0.096156410696  0.011617394470  -0.001735950865   0.106037854300  -0.268887914496
17  0.096308844789  0.096308844789  0.010626069431  -0.001835794817   0.105099119403  -0.239195678622
18  0.098627161650  0.098627161650  0.009275734120  -0.000146462976   0.107756432794  -0.248420248793
19  0.098642637563  0.098642637563  0.009290477497  -0.000148763002   0.107784352059  -0.248758849829
20  0.098653540064  0.098653540064  0.009299564820  -0.000150224872   0.107802880012  -0.248966349047
21  0.098706815241  0.098706815241  0.014512808680  -0.001627054887   0.111592569034  -0.350639400778
22  0.098716790250  0.098716790250  0.013809199648  -0.001950988238   0.110575001660  -0.322678533952
23  0.098718900592  0.098718900592  0.013829429132  -0.002010202643   0.110538127081  -0.321617699687
24  0.098722590077  0.098722590077  0.013772620958  -0.001777483471   0.110717727563  -0.326404484187
25  0.098731689694  0.098731689694  0.013730222124  -0.001764295871   0.110697615946  -0.325609605624
26  0.098734598541  0.098734598541  0.013709282021  -0.001743997189   0.110699883374  -0.325592151697
27  0.098770654804  0.098770654804  0.017018550920  -0.000483722576   0.115305483148  -0.449935828000
28  0.099141298225  0.099141298225  0.009442099616  -0.000435667603   0.108147730239  -0.245077624085
29  0.099151143433  0.099151143433  0.009453619062  -0.000439686969   0.108165075527  -0.245281711776
30  0.099763304939  0.099763304939  0.009573300581  -0.001033759144   0.108302846376  -0.232372877858
31  0.099773996285  0.099773996285  0.009577232786  -0.001042457351   0.108308771720  -0.232243188264
32  0.099804474075  0.099804474075  0.009586677932  -0.001057859724   0.108333292283  -0.232081083783
33  0.100854709461  0.100854709461  0.015646880256  -0.000152675139   0.116348914578  -0.421619013117
34  0.100875677286  0.100875677286  0.015615963850  -0.000154496927   0.116337144209  -0.420728161032
35  0.100894860481  0.100894860481  0.015604432052  -0.000156001167   0.116343291366  -0.420373432186
36  0.101711495068  0.101711495068  0.014823583744  -0.002171441594   0.114363637218  -0.344282500896
