152	-0.27646  	 (0.00000   )
153	-0.04387  	 (0.00000   )
154	-0.91645  	 (-0.00000  )
155	-0.88975  	 (0.00000   )
156	-0.45233  	 (-0.00000  )
157	-0.29416  	 (-0.00000  )
158	-0.29416  	 (-0.00000  )
159	-0.53102  	 (-0.00000  )
160	-0.59702  	 (0.00000   )
161	-0.59702  	 (-0.00000  )
162	-0.51843  	 (-0.00000  )
163	-0.39242  	 (0.00000   )
164	-0.39242  	 (-0.00000  )
165	-0.40589  	 (0.00000   )
166	-0.33523  	 (-0.00000  )
167	-0.24339  	 (-0.00000  )
168	-0.33150  	 (-0.00000  )
169	-0.33150  	 (-0.00000  )
170	-0.12725  	 (0.00000   )
171	-0.13541  	 (0.00000   )
172	-0.54575  	 (-0.00000  )
173	-0.16023  	 (0.00000   )
174	-0.07610  	 (0.00000   )
175	-0.07610  	 (-0.00000  )
176	-0.28030  	 (0.00000   )
177	-0.55608  	 (0.00000   )
178	-0.51873  	 (0.00000   )
179	-0.51873  	 (0.00000   )
180	-0.21737  	 (-0.00000  )
181	-0.81598  	 (0.00000   )
182	-0.81598  	 (0.00000   )
183	-0.25847  	 (0.00000   )
184	-0.49600  	 (0.00000   )
185	-0.03130  	 (0.00000   )
186	-0.42449  	 (-0.00000  )
187	-0.42449  	 (0.00000   )
188	-0.91800  	 (0.00000   )
189	-0.00777  	 (-0.00000  )
190	-0.49930  	 (-0.00000  )
191	-0.49930  	 (0.00000   )
192	-0.14490  	 (-0.00000  )
193	-0.14490  	 (-0.00000  )
194	-0.10130  	 (-0.00000  )
195	-0.62825  	 (0.00000   )
196	-0.62825  	 (-0.00000  )
197	-0.16594  	 (0.00000   )
198	-0.38070  	 (0.00000   )
199	-0.38070  	 (0.00000   )
200	-0.22880  	 (0.00000   )
201	-0.22880  	 (0.00000   )
202	-0.70034  	 (0.00000   )
203	0.19429   	 (0.00000   )
204	-0.71513  	 (-0.00000  )
205	-0.60487  	 (-0.00000  )
206	-0.13025  	 (0.00000   )
